DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
7.5,34.1,0.6,25.5,39.3,22.4,3.5,13.9,4.1
11.9,49.2,6.9,31.4,46.7,14.5,5,9.7,4.6
10.9,35.1,5.6,23.9,50.4,22.8,9.7,13.3,3.5
24.1,45.1,1.8,16.2,32.1,14.7,8.3,9,3.21
17.8,44.5,5.5,40.3,36.7,27.3,4.2,14.1,4.9
12.8,47.9,4.9,29.9,29.1,18.4,5.8,11.9,8.5
16.5,32,8.6,33.6,29.3,20.2,5.4,11.3,8.5
18.1,38.5,9.5,33.6,49.3,14.5,5.3,9.74,3.2
6.5,34.7,8.6,36.5,10.8,9.4,4.7,13.1,3.5
12.2,38.7,2.3,38,44.8,10.3,9.8,11.3,4.4
5.6,47.6,5.2,35.5,38.3,16.8,6.1,13.7,7.4
12.7,49.4,7.3,37.4,56.3,22.3,5.2,11,3.21
19.8,30.1,6.1,42.6,50.4,27.9,9.5,9.7,3.4
12.3,40.8,8.3,34.7,42.7,29.1,11.8,9.7,1.1
21.9,33.6,4,35.1,28.3,18.2,7.8,9.2,3.8
16.2,21.7,7.5,35.8,29.3,21.3,14.3,10.1,3.3
11.5,43.2,8.4,28.4,57.3,16.4,13.6,12,8.5
16.4,38.3,7.1,38.5,29.6,26,8,9.4,8.6
8.7,46,5.3,37.5,35.4,29.7,11.3,14.7,7.3
9.6,26.6,7.7,31.67,61.4,13.7,13.9,11.6,7
13.8,48.7,4.2,35.6,53.7,16,10.3,13,4
12,47.7,7.4,35.6,29.9,24,7.2,14,6.5
21.5,27.1,6,40,42.9,20.8,4.6,10.8,7.3
26.1,29.2,3.5,36.2,33.3,14.6,11.9,11.8,7.9
10.8,42.7,5.9,35.9,37.8,27.4,6.6,12.5,3.21
13.8,42,4.1,35.7,44.3,24.8,11.9,9.74,2.5
9.1,29.7,5.6,35.1,43.3,13.1,5.3,12.4,2.8
11.7,36.3,5.7,36.1,47.6,22.8,14.2,13,3.9
8.3,32.4,10.6,37.6,46.3,11.7,6.7,10.9,6.5
18.1,43.5,5.9,37.2,37.7,25.1,6.3,10.7,3.1
9.3,48,7.7,35.4,57,15,8.8,13.2,4.7
7.4,48.7,3.6,30.7,21.9,22.9,7.1,13.9,3.3
5.5,42.7,1.9,31.6,29.9,20.1,5.4,11.7,3
