Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,11.1,6.4,0.734375,41.2,32.4,0.271604938,35.8,34.1,0.0499,48.1,30.1,0.598006645,15.9,10.8,0.472222222,7.1
2017Centract,9.8,6.4,0.53125,43,32.4,0.327160494,27,34.1,-0.2082,43.5,30.1,0.445182724,14.7,10.8,0.361111111,6.6
2017Centract,5.6,6.4,-0.125,32.9,32.4,0.015432099,41.4,34.1,0.2141,28.1,30.1,-0.066445183,17.5,10.8,0.62037037,3.4
2017Centract,7.2,6.4,0.125,50.9,32.4,0.570987654,24.5,34.1,-0.2815,29.2,30.1,-0.029900332,23.9,10.8,1.212962963,1
2017Centract,9,6.4,0.40625,24.9,32.4,-0.231481481,35.4,34.1,0.0381,24.5,30.1,-0.186046512,12,10.8,0.111111111,1.6
2017Centract,7.2,6.4,0.125,40.4,32.4,0.24691358,28.7,34.1,-0.1584,47.8,30.1,0.588039867,16.8,10.8,0.555555556,4.6
2017Centract,5.2,6.4,-0.1875,41,32.4,0.265432099,40.4,34.1,0.1848,30.1,30.1,0,12.5,10.8,0.157407407,4.4
2017Centract,7.5,6.4,0.171875,26.8,32.4,-0.172839506,38,34.1,0.1144,41.8,30.1,0.388704319,5.2,10.8,-0.518518519,1.7
2017Centract,10,6.4,0.5625,30.1,32.4,-0.070987654,39.5,34.1,0.1584,27.5,30.1,-0.086378738,11.7,10.8,0.083333333,2.2
2017Centract,7.4,6.4,0.15625,42.7,32.4,0.317901235,20.6,34.1,-0.3959,33.3,30.1,0.106312292,18.6,10.8,0.722222222,7.3
2017Centract,5.3,6.4,-0.171875,55.9,32.4,0.725308642,31.9,34.1,-0.0645,49.3,30.1,0.637873754,16.2,10.8,0.5,3
2017Centract,5.7,6.4,-0.109375,34.6,32.4,0.067901235,30.9,34.1,-0.0938,45.2,30.1,0.50166113,19.7,10.8,0.824074074,4.2
2017Centract,6.5,6.4,0.015625,52.2,32.4,0.611111111,39.3,34.1,0.1525,29,30.1,-0.03654485,14,10.8,0.296296296,3.1
2017Centract,3.6,6.4,-0.4375,32,32.4,-0.012345679,30.4,34.1,-0.1085,33.7,30.1,0.119601329,12.9,10.8,0.194444444,1.4
2017Centract,5,6.4,-0.21875,48.8,32.4,0.50617284,37.4,34.1,0.0968,42,30.1,0.395348837,12,10.8,0.111111111,4.7
2017Centract,3.4,6.4,-0.46875,40.9,32.4,0.262345679,38.7,34.1,0.1349,24.7,30.1,-0.179401993,19.8,10.8,0.833333333,3.7
2017Centract,11.5,6.4,0.796875,34.1,32.4,0.052469136,32.8,34.1,-0.0381,43.2,30.1,0.435215947,12.2,10.8,0.12962963,1.5
2017Centract,6,6.4,-0.0625,27.7,32.4,-0.145061728,33.3,34.1,-0.0235,33.5,30.1,0.112956811,15.5,10.8,0.435185185,2
2017Centract,9.2,6.4,0.4375,42.9,32.4,0.324074074,25.2,34.1,-0.2610,47.1,30.1,0.564784053,6.5,10.8,-0.398148148,6.2
2017Centract,9.9,6.4,0.546875,45.9,32.4,0.416666667,39.5,34.1,0.1584,26.1,30.1,-0.132890365,8.3,10.8,-0.231481481,2.4
2017Centract,1.7,6.4,-0.734375,43,32.4,0.327160494,40.4,34.1,0.1848,43.2,30.1,0.435215947,7.3,10.8,-0.324074074,3.2
2017Centract,2.4,6.4,-0.625,41.6,32.4,0.283950617,34.5,34.1,0.0117,28,30.1,-0.069767442,7.8,10.8,-0.277777778,1.6
2017Centract,7.7,6.4,0.203125,31.7,32.4,-0.021604938,31.4,34.1,-0.0792,30.5,30.1,0.013289037,8.1,10.8,-0.25,1.6
2017Centract,3.8,6.4,-0.40625,45.1,32.4,0.391975309,34.3,34.1,0.0059,39,30.1,0.295681063,8.7,10.8,-0.194444444,2.3
2017Centract,3.9,6.4,-0.390625,60.5,32.4,0.867283951,37,34.1,0.0850,46.2,30.1,0.534883721,9.2,10.8,-0.148148148,8.6
2017Centract,6,6.4,-0.0625,38.3,32.4,0.182098765,31,34.1,-0.0909,29.9,30.1,-0.006644518,7.4,10.8,-0.314814815,3.1
2017Centract,8.8,6.4,0.375,39.8,32.4,0.228395062,38.9,34.1,0.1408,42.9,30.1,0.425249169,9.9,10.8,-0.083333333,2.1
2017Centract,10,6.4,0.5625,36.6,32.4,0.12962963,24.3,34.1,-0.2874,46.8,30.1,0.554817276,7.6,10.8,-0.296296296,6.1
2017Centract,8.5,6.4,0.328125,55.2,32.4,0.703703704,24.4,34.1,-0.2845,33.6,30.1,0.11627907,8.4,10.8,-0.222222222,1.4
2017Centract,9,6.4,0.40625,65.9,32.4,1.033950617,32.6,34.1,-0.0440,25.8,30.1,-0.142857143,9.6,10.8,-0.111111111,5.1
2017Centract,4.2,6.4,-0.34375,26.7,32.4,-0.175925926,30.1,34.1,-0.1173,29.3,30.1,-0.026578073,8,10.8,-0.259259259,4.4
2017Centract,6.7,6.4,0.046875,29.6,32.4,-0.086419753,34.9,34.1,0.0235,30.6,30.1,0.016611296,9.2,10.8,-0.148148148,6.9
2017Centract,4.9,6.4,-0.234375,56,32.4,0.728395062,24.2,34.1,-0.2903,32.2,30.1,0.069767442,8.6,10.8,-0.203703704,3.6
2017Centract,8.7,6.4,0.359375,37.7,32.4,0.163580247,38.2,34.1,0.1202,39.4,30.1,0.3089701,7.8,10.8,-0.277777778,6.8
2017Centract,8,6.4,0.25,35.7,32.4,0.101851852,36,34.1,0.0557,29.9,30.1,-0.006644518,11.1,10.8,0.027777778,5.3
