StkCity,StkMean,StkLowFid,StkHighFid,StkMeanByUS,StkRelByUS,Stk_Lat,Stk_Log
Stk_AL_Tuscaloosa,2.20,1.90,2.50,3.2,-0.33,33.12349833,-87.56324587
Stk_AL_Birmingham,4.10,3.50,4.90,3.2,0.30,33.49527925,-86.6987185
Stk_AL_Huntsville,4.40,4.00,4.80,3.2,0.40,34.69080318,-86.6186518
Stk_AL_Mobile,5.70,5.30,6.10,3.2,0.83,30.69103782,-88.02666768
Stk_AL_Birmingham,4.20,3.80,4.60,3.2,0.33,33.54998417,-86.89945433
Stk_AL_Montgomery,2.90,2.70,3.20,3.2,-0.10,32.42075357,-86.21879872
Stk_AL_Montgomery,6.60,5.90,7.40,3.2,1.13,32.37201753,-86.30879668
Stk_AL_Tuscaloosa,3.70,3.20,4.20,3.2,0.17,33.23574552,-87.49972197
Stk_AL_Huntsville,3.60,3.10,4.20,3.2,0.13,34.65904905,-86.54783685
Stk_AL_Birmingham,5.50,4.90,6.20,3.2,0.77,33.59314019,-86.73579305
Stk_AL_Mobile,7.40,6.70,8.20,3.2,1.40,30.65513006,-88.07774509
Stk_AL_Huntsville,2.90,2.60,3.30,3.2,-0.10,34.74608848,-86.512981
Stk_AL_Birmingham,9.00,8.10,10.00,3.2,1.93,33.55254061,-86.80168937
Stk_AL_Birmingham,4.30,4.00,4.70,3.2,0.37,33.51251581,-86.85771649
Stk_AL_Montgomery,3.10,2.80,3.30,3.2,-0.03,32.29292053,-86.24617469
Stk_AL_Birmingham,2.40,2.10,2.70,3.2,-0.27,33.52290939,-86.71026186
Stk_AL_Birmingham,8.10,7.50,8.70,3.2,1.63,33.4945909,-86.83476394
Stk_AL_Mobile,5.70,5.30,6.20,3.2,0.83,30.69111435,-88.04802225
Stk_AL_Huntsville,5.20,4.70,5.80,3.2,0.67,34.76793016,-86.63467835
Stk_AL_Tuscaloosa,4.50,4.10,4.90,3.2,0.43,33.21330012,-87.50771403
Stk_AL_Huntsville,2.20,2.00,2.50,3.2,-0.33,34.79009445,-86.78348313
Stk_AL_Mobile,5.10,4.60,5.60,3.2,0.63,30.70029009,-88.21926191
Stk_AL_Birmingham,1.20,1.10,1.40,3.2,-0.67,33.46811809,-86.66718882
Stk_AL_Hoover,1.90,1.70,2.10,3.2,-0.43,33.39237929,-86.88337551
Stk_AL_Birmingham,5.40,4.90,5.90,3.2,0.73,33.60398846,-86.70081234
Stk_AL_Mobile,2.60,2.20,3.10,3.2,-0.20,30.6845996,-88.15830754
Stk_AL_Huntsville,5.20,4.60,5.80,3.2,0.67,34.71653761,-86.62989977
Stk_AL_Mobile,4.20,3.90,4.60,3.2,0.33,30.65555967,-88.15305429
Stk_AL_Tuscaloosa,2.50,2.30,2.80,3.2,-0.23,33.18876593,-87.54239145
Stk_AL_Huntsville,6.20,5.70,6.80,3.2,1.00,34.75446961,-86.60285649
Stk_AL_Montgomery,7.40,6.60,8.30,3.2,1.40,32.33600853,-86.32305246
Stk_AL_Montgomery,10.00,8.80,11.20,3.2,2.27,32.37155556,-86.29158784
Stk_AL_Birmingham,6.70,6.00,7.50,3.2,1.17,33.50522292,-86.90148447
Stk_AL_Mobile,4.60,4.20,5.10,3.2,0.47,30.60325006,-88.09839464
Stk_AL_Montgomery,4.00,3.70,4.40,3.2,0.27,32.40511914,-86.22569299
Stk_AL_Birmingham,2.30,2.10,2.60,3.2,-0.30,33.5333416,-86.74795661
Stk_AL_Mobile,8.00,7.10,8.90,3.2,1.60,30.71213642,-88.07595396
Stk_AL_Mobile,4.50,4.00,5.00,3.2,0.43,30.67739454,-88.07349098
Stk_AL_Birmingham,8.30,7.20,9.50,3.2,1.70,33.46604181,-86.85672878
Stk_AL_Mobile,1.00,1.00,1.00,3.2,-0.73,30.74941103,-88.07057647
Stk_AL_Hoover,3.40,2.90,4.00,3.2,0.07,33.39401852,-86.81474037
Stk_AL_Tuscaloosa,2.50,2.10,2.90,3.2,-0.23,33.27016934,-87.51785264
Stk_AL_Huntsville,2.00,1.80,2.20,3.2,-0.40,34.73982021,-86.7028565
Stk_AL_Mobile,6.70,5.80,7.60,3.2,1.17,30.7890622,-88.0305346
Stk_AL_Mobile,4.40,4.00,4.80,3.2,0.40,30.73214198,-88.13988404
Stk_AL_Mobile,4.40,4.00,4.70,3.2,0.40,30.68257783,-88.11448248
Stk_AL_Huntsville,5.80,5.30,6.40,3.2,0.87,34.83899448,-86.65935906
Stk_AL_Mobile,3.30,3.00,3.60,3.2,0.03,30.68636911,-88.19819486
Stk_AL_Birmingham,6.50,5.90,7.00,3.2,1.10,33.5532051,-86.74298016
Stk_AL_Huntsville,2.60,2.30,2.90,3.2,-0.20,34.60841231,-86.57538811
Stk_AL_Birmingham,3.70,3.30,4.00,3.2,0.17,33.62990175,-86.71943112
Stk_AL_Birmingham,4.10,3.70,4.50,3.2,0.30,33.64749162,-86.70429744
Stk_AL_Huntsville,2.60,2.20,3.00,3.2,-0.20,34.72731921,-86.56737691
Stk_AL_Montgomery,3.30,3.00,3.70,3.2,0.03,32.34824166,-86.23289568
Stk_AL_Huntsville,3.50,3.00,4.00,3.2,0.10,34.58714954,-86.51417578
Stk_AL_Mobile,5.70,5.10,6.30,3.2,0.83,30.64961028,-88.09227024
Stk_AL_Hoover,2.60,2.20,3.00,3.2,-0.20,33.43842176,-86.63820025
Stk_AL_Tuscaloosa,1.00,1.00,1.00,3.2,-0.73,33.4037171,-87.59501583
Stk_AL_Mobile,3.10,2.80,3.50,3.2,-0.03,30.69196092,-88.0738103
Stk_AL_Birmingham,2.20,2.00,2.40,3.2,-0.33,33.4935824,-86.80092946
