,AZ_City,AZ_PopByMM,AZ_DeathPer100k
2978,AZ Phoenix,2732,8.5
2979,AZ Mesa,2825,10.2
2980,AZ Phoenix,6044,7.2
2981,AZ Phoenix,5017,14.9
2982,AZ Peoria,5903,6.2
2983,AZ Mesa,4671,7.6
2984,AZ Phoenix,5131,9.3
2985,AZ Glendale,149,7.9
2986,AZ Mesa,2006,7.1
2987,AZ Phoenix,2108,5.5
2988,AZ Phoenix,4765,6.8
2989,AZ Phoenix,120,10.0
2990,AZ Mesa,2823,6.5
2991,AZ Phoenix,3941,8.1
2992,AZ Peoria,3081,7.2
2993,AZ Mesa,2037,6.7
2994,AZ Glendale,4037,10.0
2995,AZ Mesa,3390,9.2
2996,AZ Phoenix,7944,12.7
2998,AZ Phoenix,3107,9.3
2999,AZ Phoenix,3026,8.6
3000,AZ Phoenix,5242,10.1
3001,AZ Phoenix,4530,9.1
3002,AZ Mesa,4001,9.1
3003,AZ Phoenix,1353,14.7
3004,AZ Phoenix,4995,10.1
3005,AZ Peoria,5071,9.2
3006,AZ Peoria,56,5.0
3007,AZ Phoenix,3791,12.7
3008,AZ Mesa,5789,6.3
3009,AZ Mesa,4939,8.2
3010,AZ Phoenix,4256,10.0
3011,AZ Phoenix,3487,8.0
3012,AZ Phoenix,6489,7.8
3013,AZ Phoenix,3972,10.4
3014,AZ Mesa,2646,13.4
3015,AZ Glendale,5893,10.3
3016,AZ Mesa,1685,3.3
3017,AZ Glendale,5217,12.9
3018,AZ Mesa,3885,10.5
3019,AZ Mesa,3238,7.8
3020,AZ Mesa,7287,9.9
3021,AZ Phoenix,6909,7.8
3022,AZ Phoenix,3931,12.5
3023,AZ Phoenix,5299,11.6
3024,AZ Phoenix,4288,6.9
3025,AZ Phoenix,3941,12.2
3026,AZ Phoenix,2115,13.6
3027,AZ Peoria,4071,9.1
3028,AZ Phoenix,3283,12.6
3029,AZ Phoenix,3536,7.0
3030,AZ Phoenix,8071,8.0
3031,AZ Peoria,1424,14.9
3032,AZ Phoenix,2044,7.9
3033,AZ Glendale,4269,8.5
3034,AZ Phoenix,5175,18.4
3035,AZ Mesa,5279,7.9
3036,AZ Mesa,2771,17.4
3038,AZ Phoenix,3957,7.5
3039,AZ Phoenix,5807,8.7
3040,AZ Phoenix,2360,12.2
3041,AZ Glendale,5915,8.7
3042,AZ Phoenix,3589,6.5
3043,AZ Phoenix,4674,9.2
3044,AZ Phoenix,3797,7.6
3045,AZ Phoenix,3158,7.1
3046,AZ Phoenix,1895,6.0
3047,AZ Mesa,5643,7.4
3048,AZ Mesa,4955,10.3
3049,AZ Phoenix,4021,4.8
3050,AZ Mesa,2179,6.4
3051,AZ Mesa,1614,8.2
3052,AZ Mesa,3158,10.0
3053,AZ Mesa,5866,7.5
3054,AZ Mesa,4773,11.3
3055,AZ Glendale,4555,7.9
3056,AZ Peoria,4114,7.4
3057,AZ Phoenix,4150,10.1
3058,AZ Glendale,1857,8.7
3059,AZ Phoenix,3443,8.4
3060,AZ Phoenix,3607,8.5
3061,AZ Phoenix,4241,9.1
3062,AZ Phoenix,2623,10.3
3063,AZ Phoenix,4920,14.8
3064,AZ Phoenix,6630,5.8
3065,AZ Phoenix,3475,10.4
