,NY_City,NY_PopByMM,NY_DeathPer100k
18175,NY New York,1643,9.0
18176,NY New York,3883,13.0
18177,NY New York,4361,13.1
18178,NY New York,2814,13.1
18179,NY New York,4573,8.9
18180,NY New York,2750,11.6
18181,NY New York,2523,14.1
18182,NY New York,2755,3.1
18183,NY New York,7229,4.9
18184,NY New York,4814,13.0
18185,NY New York,2178,7.2
18186,NY New York,2549,4.9
18187,NY New York,2880,11.0
18188,NY New York,4412,13.9
18189,NY New York,4380,17.2
18190,NY New York,2543,15.0
18191,NY New York,4759,8.9
18192,NY New York,5403,12.5
18193,NY New York,3178,10.4
18194,NY New York,5101,12.7
18195,NY New York,4773,11.6
18196,NY New York,3048,12.7
18197,NY New York,2783,8.5
18198,NY New York,2005,11.0
18199,NY New York,4693,9.6
18200,NY New York,7608,12.3
18201,NY New York,8047,5.2
18202,NY New York,7627,10.3
18203,NY New York,2942,11.2
18204,NY New York,14934,12.3
18205,NY New York,3620,9.7
18206,NY New York,4864,16.8
18207,NY New York,2630,11.3
18208,NY New York,4042,12.3
18209,NY New York,2970,9.6
18210,NY New York,4797,13.0
18211,NY New York,2109,12.6
18212,NY New York,1957,9.6
18214,NY New York,3306,12.4
18215,NY New York,2910,12.5
18216,NY New York,3299,10.5
18217,NY New York,2770,11.6
18218,NY New York,3822,13.5
18219,NY New York,6038,4.9
18220,NY New York,5094,11.9
18221,NY New York,7942,12.6
18222,NY New York,2002,10.4
18223,NY New York,4250,10.6
18224,NY New York,1633,19.3
18225,NY New York,2126,8.5
18226,NY New York,2280,13.2
18227,NY New York,3770,12.3
18228,NY New York,5207,14.1
18229,NY New York,4227,9.7
18230,NY New York,2102,8.7
18231,NY New York,3803,15.0
18232,NY New York,2863,15.3
18233,NY New York,7114,10.7
18234,NY New York,151,7.4
18235,NY New York,6734,11.6
18236,NY New York,4085,9.1
18237,NY New York,4382,16.6
18238,NY New York,3053,14.7
18239,NY New York,2701,8.0
18240,NY New York,5403,14.6
18241,NY New York,10751,5.1
18242,NY New York,2155,12.7
18243,NY New York,2772,10.9
18244,NY New York,4222,13.8
18245,NY New York,2084,6.3
18246,NY New York,3154,11.8
18247,NY New York,3670,9.4
18248,NY New York,4552,9.4
18249,NY New York,8106,14.0
18250,NY New York,2229,9.7
18251,NY New York,1772,9.8
18252,NY New York,3033,11.2
18253,NY New York,3990,17.8
18254,NY New York,2011,12.9
18255,NY New York,1074,13.5
18256,NY New York,1234,13.9
18257,NY New York,3975,12.4
18258,NY New York,3571,11.3
18259,NY New York,10910,11.5
18260,NY New York,5677,4.6
18261,NY New York,5764,16.1
18262,NY New York,3474,6.8
18263,NY New York,3095,9.2
18264,NY New York,1795,10.7
18265,NY New York,2730,10.6
18266,NY New York,1384,6.0
18267,NY New York,4232,9.0
18268,NY New York,2926,9.3
18270,NY New York,3265,14.6
18271,NY New York,8807,7.7
18272,NY New York,5370,13.6
