,FL_City,FL_PopByMM,FL_DiagPer100k
9051,FL Lakeland,"4,234",12.7
9052,FL Palm Bay,"9,330",11.9
9053,FL Jacksonville,"3,395",23.3
9054,FL Jacksonville,"2,380",15.0
9055,FL Jacksonville,"1,688",12.7
9056,FL Palm Coast,"5,523",12.3
9057,FL Jacksonville,"7,045",14.5
9058,FL Jacksonville,"8,449",10.7
9059,FL Miramar,"5,262",9.6
9060,FL Jacksonville,"2,778",20.5
9061,FL Jacksonville,"6,238",8.5
9062,FL Miami,"1,622",9.6
9063,FL Orlando,"1,128",13.8
9064,FL Orlando,"4,998",18.5
9065,FL Miami,"4,204",19.2
9066,FL Lauderhill,"6,042",12.5
9067,FL Miami Beach,"87,779",10.4
9068,FL Miami,"2,815",15.3
9069,FL Orlando,"3,167",7.5
9070,FL Orlando,"4,688",8.7
9071,FL Lakeland,"3,159",9.5
9072,FL Largo,"1,530",15.2
9073,FL Jacksonville,"3,678",9.4
9074,FL Jacksonville,"6,707",7.6
9075,FL Miami,364,10.3
9076,FL Miami,"2,553",11.0
9077,FL Melbourne,"4,107",12.0
9078,FL Palm Bay,"5,447",12.3
9079,FL Miramar,"5,272",12.0
9080,FL Jacksonville,"5,960",8.0
9081,FL Miramar,"10,083",7.5
9082,FL Jacksonville,"4,046",12.0
9083,FL Orlando,"2,315",10.0
9084,FL Lakeland,"4,098",9.8
9085,FL Orlando,830,9.8
9086,FL Orlando,"1,777",8.9
9087,FL Largo,"77,648",12.2
9088,FL Jacksonville,"3,362",12.0
9089,FL Melbourne,"1,157",10.1
9090,FL Miami,"2,176",17.2
9091,FL Orlando,165,18.3
9092,FL Jacksonville,"4,228",9.5
9093,FL Miami Beach,"2,944",12.1
9094,FL Orlando,"3,464",13.3
9095,FL Jacksonville,"4,772",13.3
9096,FL Palm Coast,"5,866",12.1
9097,FL Miramar,"23,101",8.1
9098,FL Miami,"5,647",11.1
9099,FL Lauderhill,"3,246",13.5
9100,FL Miami Gardens,"6,465",16.1
9101,FL Miami,"5,461",18.7
9102,FL Miami,"6,893",17.1
9103,FL Orlando,"2,157",10.9
9104,FL Lakeland,"1,874",21.0
9105,FL Miami Beach,"2,978",6.8
9107,FL Jacksonville,"9,609",9.2
9108,FL Jacksonville,"2,487",11.8
9109,FL Melbourne,"2,420",11.6
9110,FL Largo,493,11.2
9111,FL Lauderhill,"5,095",15.7
9112,FL Jacksonville,"5,546",10.1
9113,FL Jacksonville,"2,633",3.9
9114,FL Largo,"1,343",10.7
9115,FL Miami,"1,630",18.0
9116,FL Orlando,"1,946",10.7
9117,FL Palm Bay,"103,190",11.9
9118,FL Jacksonville,"2,911",11.5
9119,FL Jacksonville,"5,745",14.5
9121,FL Jacksonville,"6,804",9.8
9122,FL Jacksonville,"4,854",9.3
9123,FL Jacksonville,"7,077",8.5
9124,FL Jacksonville,"821,784",11.3
9125,FL Miami Gardens,650,17.4
9127,FL Jacksonville,"5,767",13.3
9128,FL Jacksonville,"4,869",10.1
9129,FL Miami,"2,909",19.0
9130,FL Palm Bay,"5,182",11.8
9131,FL Jacksonville,"11,983",7.2
9132,FL Largo,165,9.8
9133,FL Melbourne,"6,243",9.8
9134,FL Miami,"3,479",16.8
9135,FL Palm Coast,"75,180",12.4
9136,FL Melbourne,"3,300",19.0
9137,FL Jacksonville,"4,862",9.4
9138,FL Miami,"7,327",14.1
9139,FL Orlando,276,4.5
9140,FL Miami,"4,002",6.2
9141,FL Lakeland,"4,552",15.5
9142,FL Miami Gardens,"6,504",15.9
9143,FL Miami,"6,956",16.4
9144,FL Lauderhill,"66,887",14.0
9145,FL Jacksonville,"11,511",7.4
9146,FL Miami,"3,655",16.1
9148,FL Largo,268,14.5
9149,FL Jacksonville,"2,927",7.8
9150,FL Jacksonville,"7,929",10.4
9151,FL Jacksonville,"3,424",10.1
9152,FL Orlando,"2,063",13.0
9153,FL Lakeland,"3,057",15.8
9154,FL Orlando,"6,604",8.5
9155,FL Jacksonville,"7,255",15.8
9156,FL Jacksonville,"5,108",9.5
9157,FL Miami Beach,"4,106",14.7
9158,FL Miami Gardens,"2,043",21.1
9159,FL Jacksonville,"4,147",22.1
9160,FL Palm Bay,"6,849",13.5
9161,FL Miami Gardens,"5,232",13.7
9162,FL Jacksonville,"2,405",20.3
9163,FL Miami,"3,387",18.2
9164,FL Palm Bay,"6,760",10.1
9165,FL Miami,"2,403",13.6
9166,FL Orlando,"4,821",7.6
9167,FL Largo,"1,085",9.8
9168,FL Melbourne,"2,562",9.0
9169,FL Miami,"5,323",16.0
9170,FL Lakeland,"2,034",10.2
9171,FL Palm Coast,"7,924",10.8
9172,FL Miami,"4,416",18.2
9173,FL Jacksonville,"4,555",8.3
9174,FL Miami,"3,027",21.5
9175,FL Orlando,"4,707",5.6
9176,FL Melbourne,"3,624",15.5
9177,FL Miami,"5,527",9.8
9178,FL Largo,"77,648",9.2
9179,FL Miami Beach,"1,836",10.6
9180,FL Jacksonville,"6,161",14.2
9181,FL Miami Gardens,"4,645",14.4
9182,FL Lakeland,"1,848",13.8
9183,FL Jacksonville,"4,239",11.3
9184,FL Jacksonville,"4,201",9.1
9185,FL Miami,"5,780",13.6
9186,FL Jacksonville,"3,412",13.4
9187,FL Miami Gardens,"5,336",12.6
9188,FL Lakeland,"3,578",9.3
9189,FL Lakeland,"1,632",9.9
